id,title,filtered_words,features,label_index
R129,New Report on Election,safe size event cause impact less. computer care computer eye order evening. window relate investment worry event. experts discuss ongoing developments election.,"(10000,[912],[5.523458920524919])",1.0
R227,New Report on Climate Change,usually decide result apply national. cause education wife piece interview former when. enough change light arrive difficult. experts discuss ongoing developments climate change.,"(10000,[9908],[5.523458920524919])",1.0
F231,Aliens Confirmed by Sources,thank deep cultural face amount. soon thought amount real letter. trouble perhaps husband report husband. — shocking claims aliens surface internet.,"(10000,[9526],[5.523458920524919])",0.0
R066,New Report on Policy,piece manager left maybe. everybody likely age drop size. student assume seat move. experts discuss ongoing developments policy.,"(10000,[3424],[5.523458920524919])",1.0
F095,Mind Control Confirmed by Sources,glass stuff run like economic stock evening drop. add necessary civil stop bill table. — shocking claims mind control surface internet.,"(10000,[6970],[5.523458920524919])",0.0
R174,New Report on Policy,speak song necessary. police report size leg direction result customer. hear yes very. experts discuss ongoing developments policy.,"(10000,[4957],[5.523458920524919])",1.0
R201,New Report on Public Health,report opportunity left result. matter success a. many around go identify edge only. something miss society seat science. experts discuss ongoing developments public health.,"(10000,[9730],[5.523458920524919])",1.0
R072,New Report on Education,month hit participant whether economy. hot decide side report. tax weight step production only. experts discuss ongoing developments education.,"(10000,[1869],[5.523458920524919])",1.0
R064,New Report on Research,responsibility fire customer already quickly. door administration law. law support reach official use moment. experts discuss ongoing developments research.,"(10000,[124],[5.523458920524919])",1.0
F037,Miracle Drug Confirmed by Sources,area high tree even mother. trouble production follow mr whose two adult daughter. business mrs collection personal air. — shocking claims miracle drug surface internet.,"(10000,[4497],[5.523458920524919])",0.0
R170,New Report on Technology Breakthrough,world prevent together seat by. manager loss sea since break. foreign off. experts discuss ongoing developments technology breakthrough.,"(10000,[3273],[5.523458920524919])",1.0
F110,Celebrity Scandal Confirmed by Sources,training daughter inside receive front evening item kid. — shocking claims celebrity scandal surface internet.,"(10000,[3710],[5.523458920524919])",0.0
F048,Secret Cure Confirmed by Sources,beyond dream prove music. care report common debate anything maintain rise. — shocking claims secret cure surface internet.,"(10000,[310],[5.523458920524919])",0.0
F082,Hoax Confirmed by Sources,spend trial series stay much pick dinner. military stage assume always others free. true human military cost pattern consumer. — shocking claims hoax surface internet.,"(10000,[5691],[5.523458920524919])",0.0
F187,Miracle Drug Confirmed by Sources,every happy size treatment second production drug. skin air indeed kid happen fish. — shocking claims miracle drug surface internet.,"(10000,[3024],[5.523458920524919])",0.0
F027,Miracle Drug Confirmed by Sources,lose throw drop among level support here. hold economic continue street across. significant fill coach five choose improve. — shocking claims miracle drug surface internet.,"(10000,[4561],[5.523458920524919])",0.0
F202,Hoax Confirmed by Sources,away true. necessary describe great middle mr nearly. — shocking claims hoax surface internet.,"(10000,[8913],[5.523458920524919])",0.0
F197,Secret Cure Confirmed by Sources,simply free meet door enough enjoy themselves. democratic wait our. — shocking claims secret cure surface internet.,"(10000,[3990],[5.523458920524919])",0.0
R128,New Report on Climate Change,yet nothing rise visit development. coach imagine bed religious reason. sell oil today exactly. experts discuss ongoing developments climate change.,"(10000,[8900],[5.117993812416755])",1.0
F157,Government Cover-Up Confirmed by Sources,republican hit group brother. indicate industry per strong bar bed home. — shocking claims government cover-up surface internet.,"(10000,[7241],[5.523458920524919])",0.0
F117,Hoax Confirmed by Sources,discuss health week step. even professional market school need although. — shocking claims hoax surface internet.,"(10000,[5719],[5.523458920524919])",0.0
F173,Secret Cure Confirmed by Sources,indeed major investment school group best. significant draw professional area notice. reality black attack. — shocking claims secret cure surface internet.,"(10000,[3613],[5.523458920524919])",0.0
